1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.033066,0.015789,0.01248,0.0073066,0.0047177,0.0031595,0.0023304,0.0017139,0.0014887,0.0012816,0.00035679,0.00025373,0.00018861,0.00014138,0.00011657,0.00010477,8.9072e-05,8.4036e-05,7.8952e-05
0.28236,0.18425,0.1447,0.10783,0.072715,0.053323,0.038839,0.029577,0.024055,0.02123,0.0049426,0.0026173,0.0017778,0.001382,0.0012325,0.0011365,0.00081319,0.0008091,0.00070117
0.0067867,0.0011542,0.00079423,0.00077675,0.00048191,0.00039572,0.00033576,0.00039468,0.00033074,0.00030934,0.00013715,0.00010578,8.0247e-05,6.5773e-05,6.1561e-05,5.5096e-05,4.7256e-05,4.5471e-05,4.1456e-05
0.65276,0.29321,0.20804,0.089116,0.052365,0.042386,0.027291,0.035281,0.029107,0.028349,0.0086644,0.0050736,0.0037203,0.0025473,0.0025317,0.0021595,0.001538,0.0015152,0.0015032
0.12879,0.055399,0.034764,0.019398,0.013701,0.011061,0.0085869,0.007146,0.0059878,0.0049492,0.0023587,0.0018289,0.0014553,0.0011671,0.0010031,0.00084189,0.00076316,0.00069694,0.00066121
598.17,317.28,208.76,127.21,84.796,74.619,54.739,45.843,37.022,33.271,7.2773,3.678,2.3557,1.3775,1.0871,0.91914,0.73664,0.55502,0.49892
