1,2
5.3656,5.2481
4.2255,4.6117
3.8319,4.0325
3.5357,3.5664
3.5047,3.3737
3.232,2.9526
2.8283,2.7371
2.6772,2.3265
2.2085,1.7587
1.8333,1.6212
0.086341,0.62653
0.077283,0.32964
0.071552,0.30047
0.071134,0.15435
0.065888,0.13475
0.060072,0.12222
0.05693,0.091361
0.05116,0.084837
0.048966,0.078358
0.048819,0.068019
0.046398,0.06078
0.045598,0.059606
0.04391,0.057034
0.042807,0.051391
0.04219,0.050182
0.040261,0.049781
0.0391,0.047693
0.037044,0.043287
0.034553,0.042006
0.033565,0.039037
0.032183,0.03825
0.03175,0.036822
0.030587,0.035803
0.029306,0.033702
0.028957,0.03163
0.028745,0.029858
0.027474,0.028471
0.027089,0.027704
0.025825,0.025967
0.025045,0.025872
0.024799,0.02461
0.024368,0.023362
0.023645,0.022339
0.022369,0.021718
0.022154,0.021517
0.021749,0.020537
0.021265,0.019862
0.020507,0.018939
0.019654,0.018228
0.019128,0.01753
0.018656,0.017132
0.018419,0.016551
0.017923,0.015916
0.017287,0.014941
0.016795,0.014665
0.016293,0.014452
0.015876,0.014048
0.015309,0.013396
0.014766,0.012866
0.014644,0.012317
0.014285,0.012038
0.014014,0.011641
0.013682,0.011242
0.013315,0.010754
0.012957,0.010233
0.012389,0.010012
0.011806,0.0095943
0.01168,0.0089244
0.011251,0.0088552
0.01088,0.008549
0.010303,0.0080967
0.010226,0.0078996
0.010047,0.0078119
0.0098619,0.0073406
0.0093719,0.0070694
0.0089485,0.0066385
0.0088056,0.0065284
0.0084805,0.0062248
0.0082649,0.0057685
0.0079603,0.005095
0.007696,0.0048865
0.0075124,0.0047511
0.007267,0.0044493
0.0070764,0.0043453
0.0067442,0.0041365
0.0066135,0.0037978
0.0062787,0.0037095
0.006184,0.0033821
0.0058254,0.0028932
0.0056645,0.0024146
0.0051595,0.0020286
0.0050008,0.0018917
0.0048894,0.0016649
0.0047373,0.0015216
0.0043507,0.0013799
0.0041893,0.0011607
0.0039194,0.00082827
0.0038239,0.00040172
0.0033739,0.00029186
0.0028807,5.6562e-05
